"Registration Number","Name of Company (Traditional Chinese)","Name of Company (English)","Area (Traditional Chinese)","Area (English)","District (Traditional Chinese)","District (English)","Business Address (Traditional Chinese)","Business Address (English)","Telephone Number","Workshop Type","Service Scope","Expiry Date","Review Status","Latitude","Longitude","Types of Vehicles Serviced (Traditional Chinese)","Types of Vehicles Serviced (English)","Types of Services Provided by the Workshop (Traditional Chinese)","Types of Services Provided by the Workshop (English)","Sundays (Open)","Sundays (Closed)","Mondays (Open)","Mondays (Closed)","Tuesdays (Open)","Tuesdays(Closed)","Wednesdays (Open)","Wednesdays(Closed)","Thursdays (Open)","Thursdays(Closed)","Fridays (Open)","Fridays (Closed)","Saturdays (Open)","Saturdays (Closed)","Public Holidays (Open)","Public Holidays (Closed)","Statutory Holidays (Open)","Statutory Holidays (Closed)","Opening Hours"
"VMW002940","聯合汽車服務","LUEN HOP AUTO SERVICES","新界","N.T.","葵青","KWAI TSING","葵涌國瑞路河背村2號地下","G/F, Ho Pui Tsuen, No. 2, Kwok Shui Road, Kwai Chung","24923620","4","IC","2028-02-24","","22.3711191","114.1255129","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW002962","棉記汽車有限公司","MIN KEE MOTORS COMPANY LIMITED","新界","N.T.","荃灣","TSUEN WAN","橫龍街42-46號 ‎牛津工業大廈地下A舖","Flat A, G/F, Oxford Industrial Building, No. 42-46, Wang Lung Street, ","24932635","3","IC","2028-03-02","","22.3653819","114.1166686","私家車, 小巴, 輕型貨車","Private Car, Light Bus, Light Goods Vehicle","","","R","R","09:30","19:00","09:30","19:00","09:30","19:00","09:30","19:00","09:30","19:00","09:30","19:00","R","R","R","R","Mo 09:30-19:00, Tu 09:30-19:00, We 09:30-19:00, Th 09:30-19:00, Fr 09:30-19:00, Sa 09:30-19:00"
"VMW002973","達安汽車工程有限公司","TAT ON MOTOR ENGINEERING LIMITED","新界","N.T.","荃灣","TSUEN WAN","橫龍街17-33號 ‎明華工業大廈地下A1&A2舖","Shop A1 & A2, G/F, Ming Wah Industrial Building, No. 17-33, Wang Lung Street, ","24092092","3","IC","2028-01-11","","22.3658758","114.1167028","私家車, 輕型貨車, 中型貨車, 重型貨車, 掛接式拖車頭及拖車架","Private Car, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle, Articulated Tractor and Trailer","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","R","R","Mo 09:00-19:00, Tu 09:00-19:00, We 09:00-19:00, Th 09:00-19:00, Fr 09:00-19:00, Sa 09:00-19:00"
"VMW002995","合群汽車服務有限公司","HOP KWAN MOTOR SERVICES CO., LIMITED","新界","N.T.","北區","NORTH DISTRICT","粉嶺聯和墟聯安街53號地下","G/F, No. 53, Luen On Street, Luen Wo Market, Fanling","26758181","4","IC","2025-08-23","","22.50016","114.14287","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW003002","永佳汽車工程公司","WING KAI MOTORS ENGINEERING CO","新界","N.T.","北區","NORTH DISTRICT","粉嶺安樂村安樂門街8號","No. 8, On Lok Mun Street, On Lok Tsuen, Fanling","26695337","2","IC","2028-07-06","","22.4966","114.14363","私家車, 輕型貨車","Private Car, Light Goods Vehicle","","","R","R","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","Mo 10:00-19:00, Tu 10:00-19:00, We 10:00-19:00, Th 10:00-19:00, Fr 10:00-19:00, Sa 10:00-19:00"
"VMW003013","加豐電單車行","KA FUNG MOTORCYCLE COMPANY","九龍","Kowloon","深水埗","SHAM SHUI PO","黃竹街43-45號時康大廈地下B室","Flat B, G/F, Chee Hong Building, No. 43-45, Wong Chuk Street, ","27769718","4","IC","2028-07-24","","22.3298661","114.1666442","私家車, 電單車","Private Car, Motorcycle","","","","","","","","","","","","","","","","","","","","",""
"VMW003024","環球汽車維修服務有限公司","INTERNATIONAL MOTOR MAINTENANCE SERVICE LIMITED","九龍","Kowloon","深水埗","SHAM SHUI PO","順寧道501-511號地下7&8室","RM 7&8, G/F, No. 501-511, Shun Ning Road, ","27961062","4","IC","2028-02-24","","22.3405871","114.1544086","私家車, 輕型貨車, 中型貨車","Private Car, Light Goods Vehicle, Medium Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW003035","文記汽車服務有限公司","MAN KEE MOTOR SERVICES LIMITED","新界","N.T.","北區","NORTH DISTRICT","粉嶺沙頭角五洲路 DD 79, LOT 1252RP","DD 79, LOT 1252RP Ng Chow Road, Sha Tau Kok, Fanling","24821300","3","IC","2028-03-02","","22.5300115","114.1696866","中型貨車, 重型貨車","Medium Goods Vehicle, Heavy Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW003046","BILLY MOTOR SERVICE","BILLY MOTOR SERVICE","九龍","Kowloon","油尖旺","YAU TSIM MONG","大角咀通州街123號國貿中心地下C舖","Flat C, G/F, Worldwide Centre, No. 123, Tung Chau Street, Tai Kok Tsui","31620023","3","IC","2028-05-26","","22.32466","114.16244","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW003057","全威汽車公司","CHUEN WAI MOTOR CO.","香港","Hong Kong","灣仔","WAN CHAI","銅鑼灣景明道5號D地下","G/F, No. 5D, King Ming Road, Causeway Bay","25737345","4","IC","2026-08-10","","22.2866006","114.1905256","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW003068","萬昌汽車有限公司 (錦田)","MANDARIN AUTO SERVICES LIMITED (KAM TIN)","新界","N.T.","元朗","YUEN LONG","錦田七星崗191號","No. 191, Tsat Sing Kong, ","24880511","2","IC","2027-12-28","","22.44293","114.08415","輕型貨車, 中型貨車, 重型貨車","Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle","一般車輛維修 (機械和電器工作), 車身修理, 車身噴漆","General vehicle maintenance (mechanical and electrical work), Body works, Spray painting","R","R","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","R","R","Mo 09:00-18:00, Tu 09:00-18:00, We 09:00-18:00, Th 09:00-18:00, Fr 09:00-18:00, Sa 09:00-18:00"
"VMW003080","全記電單車行","CHUEN KEE MOTORCYCLE SPECIALIST","香港","Hong Kong","灣仔","WAN CHAI","銅鑼灣玻璃街14號地下","G/F, No. 14, Glass Street, Causeway Bay","25783784","4","IC","2028-03-12","","22.2866099","114.1906835","電單車","Motorcycle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW003091","斯堪尼亞(香港)有限公司 (葵涌)","SCANIA (HONG KONG) LIMITED (KWAI CHUNG)","新界","N.T.","葵青","KWAI TSING","葵涌昂船洲昂運路, STT3761KT,","STT3761KT, Ngong Wan Road, Stonecutters Island, Kwai Chung","27418006","1","IC","2028-03-02","","22.3196","114.12753","巴士, 中型貨車, 重型貨車, 掛接式拖車頭及拖車架,其他","Bus, Medium Goods Vehicle, Heavy Goods Vehicle, Articulated Tractor and Trailer,Others","","","R","R","08:00","20:00","08:00","20:00","08:00","20:00","08:00","20:00","08:00","20:00","08:00","20:00","R","R","R","R","Mo 08:00-20:00, Tu 08:00-20:00, We 08:00-20:00, Th 08:00-20:00, Fr 08:00-20:00, Sa 08:00-20:00"
"VMW003171","百浚汽車維修中心","PAK CHUN MOTOR SERVICE CENTRE","新界","N.T.","大埔","TAI PO","瑞安街21號地下","G/F, No. 21, Shui On Street, ","34852408","4","IC","2028-03-02","","22.44892","114.1637","私家車, 輕型貨車","Private Car, Light Goods Vehicle","","","","","","","","","","","","","","","","","","","","",""
"VMW003182","聯鏘汽車服務有限公司","LUEN CHEUNG MOTOR SERVICES LIMITED","香港","Hong Kong","東區","EASTERN DISTRICT","北角炮台山道5-13號金堡大廈地下E舖","Shop E, G/F, Golden Castle Mansion, No. 5-13, Fortress Hill Road, North Point","25359348","4","IC","2028-03-02","","22.28876","114.19518","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","R","R","R","R","Mo 09:00-19:00, Tu 09:00-19:00, We 09:00-19:00, Th 09:00-19:00, Fr 09:00-19:00, Sa 09:00-19:00"
"VMW003217","BODY SHOP AUTO SERVICE CO","BODY SHOP AUTO SERVICE CO","新界","N.T.","沙田","SHA TIN","火炭坳背灣街38-42號華衛工貿中心地下4C室","Flat 4C, G/F, Wah Wai Industrial Building, No. 38-42, Au Pui Wan Street, Fo Tan","26909303","3","IC","2028-03-02","","22.40027","114.19233","私家車","Private Car","","","R","R","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","R","R","R","R","Mo 09:00-19:00, Tu 09:00-19:00, We 09:00-19:00, Th 09:00-19:00, Fr 09:00-19:00, Sa 09:00-19:00"
"VMW003228","陽光汽車服務中心","SUNSHINE AUTO SERVICE COMPANY","新界","N.T.","屯門","TUEN MUN","良田村新秀街64號地下","G/F, No. 64, San Sau Street , Leung Tin Tsuen, ","24411486","4","IC","2028-03-18","","22.39891","113.9779","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW003239","香港明愛","CARITAS HONG KONG","香港","Hong Kong","中西區","CENTRAL AND WESTERN DISTRICT","半山堅道2-16號","No. 2-16, Caine Road, Mid-Levels","25246961","3","IC","2028-01-01","","22.27983","114.15409","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW003251","中田貿易有限公司","CHINA YOUTH TRADING LTD","新界","N.T.","北區","NORTH DISTRICT","上水馬草壟路29號","No. 29, Ma Tso Lung Road, Sheung Shui","24741122","2","IC","2028-02-20","","22.5111143","114.0988243","私家車, 小巴, 巴士, 輕型貨車, 中型貨車, 重型貨車, 電單車,其他","Private Car, Light Bus, Bus, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle, Motorcycle,Others","","","","","","","","","","","","","","","","","","","","",""
"VMW003262","慶聯車行","HING LUEN MOTOR COMPANY","新界","N.T.","元朗","YUEN LONG","廈村廈村路 DD124, LOT624","DD124, LOT624 Ha Tsuen Road, Ha Tsuen, ","24478828","3","IC","2025-10-17","","22.444613","113.998052","私家車, 輕型貨車, 中型貨車, 重型貨車, 掛接式拖車頭及拖車架","Private Car, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle, Articulated Tractor and Trailer","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","R","R","R","R","Mo 09:00-19:00, Tu 09:00-19:00, We 09:00-19:00, Th 09:00-19:00, Fr 09:00-19:00, Sa 09:00-19:00"
"VMW003273","慶聯車房","HING LUEN GARAGE","新界","N.T.","元朗","YUEN LONG","洪水橋石埗路永安居 DD124, LOT 615(20)","DD124, LOT 615(20) Wing On Kui, Ha Tsuen, Hung Shui Kiu","24471968","3","IC","2025-10-17","","22.444782","113.997749","私家車, 輕型貨車, 中型貨車, 重型貨車, 掛接式拖車頭及拖車架","Private Car, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle, Articulated Tractor and Trailer","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","R","R","R","R","Mo 09:00-19:00, Tu 09:00-19:00, We 09:00-19:00, Th 09:00-19:00, Fr 09:00-19:00, Sa 09:00-19:00"
"VMW003282","U.E.E. (HONG KONG) LIMITED","U.E.E. (HONG KONG) LIMITED","九龍","Kowloon","九龍城","KOWLOON CITY","大環道25號C榮業大厦地下","G/F, Winner Building, No. 25C, Tai Wan Road, ","23633889","3","IC","2025-02-25","*","22.30851","114.18892","私家車, 的士, 小巴","Private Car, Taxi, Light Bus","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW003295","東南汽車服務","EAST SOUTH MOTOR SERVICES","新界","N.T.","荃灣","TSUEN WAN","沙咀道26-38號匯力工業中心地下5-6號舖","Flat 5-6, G/F, Thriving Industrial Centre, No. 26-38, Sha Tsui Road, ","93575209","3","IC","2025-08-05","*","22.3739956","114.1084084","小巴","Light Bus","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW003308","挑戰者汽車服務有限公司 (觀塘)","CHALLENGER AUTO SERVICES LIMITED (KWUN TONG)","九龍","Kowloon","觀塘","KWUN TONG","興業街16-18號美興工業大廈地下","G/F, Mai Hing Industrial Building, No. 16-18, Hing Yip Street, ","23411868","3","IC","2025-05-04","*","22.30894","114.22537","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW003319","合成汽車服務","HOP SHING AUTO SERVICE","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣鴻運街22號地下","G/F, No. 22, Hung Wan Street, To Kwa Wan","90174333","4","IC","2028-02-24","","22.3214355","114.1927431","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","10:00","13:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","R","R","R","R","Su 10:00-13:00,Mo 09:00-18:00, Tu 09:00-18:00, We 09:00-18:00, Th 09:00-18:00, Fr 09:00-18:00, Sa 09:00-18:00"
"VMW003343","陳仔汽車服務有限公司","CHAN CHAI MOTOR-CAR SERVICE CO. LIMITED","九龍","Kowloon","觀塘","KWUN TONG","油塘高輝道17號油塘工業城A座地下10號舖","Shop 10, G/F, Block A, Yau Tong Industrial City, No. 17, Ko Fai Road, Yau Tong","23266748","3","IC","2025-12-07","","22.2954075","114.2347502","巴士, 輕型貨車, 中型貨車","Bus, Light Goods Vehicle, Medium Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","R","R","R","R","Mo 09:00-19:00, Tu 09:00-19:00, We 09:00-19:00, Th 09:00-19:00, Fr 09:00-19:00, Sa 09:00-19:00"
"VMW003375","眾力汽車有限公司","CHIEF WAY AUTO LIMITED","新界","N.T.","北區","NORTH DISTRICT","粉嶺業暢街9號利來中心地下1A舖","Shop 1A, G/F, Raleigh Centre, No. 9, Yip Cheong Street, Fanling","26283283","3","IC","2028-03-02","","22.49446","114.14294","私家車, 輕型貨車","Private Car, Light Goods Vehicle","","","R","R","09:00","20:00","09:00","20:00","09:00","20:00","09:00","20:00","09:00","20:00","09:00","20:00","R","R","R","R","Mo 09:00-20:00, Tu 09:00-20:00, We 09:00-20:00, Th 09:00-20:00, Fr 09:00-20:00, Sa 09:00-20:00"
"VMW003386","俊達汽車服務","CHUN TAT AUTO SERVICE","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣馬頭角道97-99號地下","G/F, No. 97-99, Ma Tau Kok Road, To Kwa Wan","23303911","4","IC","2028-03-02","","22.3201108","114.1937922","私家車, 輕型貨車","Private Car, Light Goods Vehicle","","","R","R","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","14:00","R","R","R","R","Mo 09:00-18:00, Tu 09:00-18:00, We 09:00-18:00, Th 09:00-18:00, Fr 09:00-18:00, Sa 09:00-14:00"
"VMW003397","好運車行有限公司","HO WUN CARS COMPANY LIMITED","九龍","Kowloon","黃大仙","WONG TAI SIN","新蒲崗彩虹道192-198號 ‎旺景工業大廈地下F室","Flat F, G/F, Wong King Industry Building, No.192-198, Choi Hung Road, San Po Kong","27084499","3","IC","2028-04-20","","22.3392737","114.1988173","電單車","Motorcycle","","","","","","","","","","","","","","","","","","","","",""
"VMW003400","安達汽車服務公司","ON TAT MOTOR SERVICE","九龍","Kowloon","深水埗","SHAM SHUI PO","長沙灣保安道17-33號新寶大廈地下8號舖","Shop 8, G/F, Sun Po Building, No. 17-33, Po On Road, Cheung Sha Wan","27250955","4","IC","2028-02-15","","22.3362966","114.1608101","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW003422","恒忠有限公司","ETERNAL LOYAL LIMITED","新界","N.T.","荃灣","TSUEN WAN","沙咀道26-38號匯力工業中心地下5&6室","Flat 5&6, G/F, Thriving Industrial Centre, No. 26-38, Sha Tsui Road, ","24166586","2","IC","2028-03-12","","22.37406","114.10844","小巴","Light Bus","一般車輛維修 (機械和電器工作), 石油氣車輛維修","General vehicle maintenance (mechanical and electrical work), Maintenance for LPG vehicles","","","","","","","","","","","","","","","","","","",""
"VMW003433","珠江汽車維修廠有限公司","CHU KONG VEHICLE WORKS FACTORY LIMITED","九龍","Kowloon","黃大仙","WONG TAI SIN","新蒲崗三祝街22號啟德工廠大廈B座地下","Flat B, G/F, Kai Tak Factory Building, No. 22, Sam Chuk Street, San Po Kong","24745815","3","IC","2027-10-27","","22.335089","114.1985105","小巴, 巴士","Light Bus, Bus","","","","","","","","","","","","","","","","","","","","",""
"VMW003445","聯合的士服務公司","UNITED TAXI SERVICE COMPANY","九龍","Kowloon","九龍城","KOWLOON CITY","紅磡大環道25號C榮業大廈地下","G/F, Winner Building, No. 25C, Tai Wan Road, Hung Hom","23383213","3","IC","2026-01-13","","22.3085195","114.189213","的士","Taxi","一般車輛維修 (機械和電器工作), 石油氣車輛維修, 車身修理","General vehicle maintenance (mechanical and electrical work), Maintenance for LPG vehicles, Body works","","","","","","","","","","","","","","","","","","",""
"VMW003455","英皇汽車電器","YING WONG ELECTRICAL CO","新界","N.T.","元朗","YUEN LONG","東堤街8號泰祥大廈地下G舖","Flat G, G/F, Tai Cheung Building, No. 8, Tung Tai Street, ","24789816","4","IC","2028-03-04","","22.44588","114.03068","私家車, 輕型貨車","Private Car, Light Goods Vehicle","","","","","","","","","","","","","","","","","","","","",""
"VMW003477","順發","SHUN FAT MOTOR CO","九龍","Kowloon","深水埗","SHAM SHUI PO","醫局街222-224號仁禮大廈地下","G/F, No. 222-224, Yee Kuk Street, ","27295846","4","IC","2028-02-16","","22.3292998","114.1582496","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW003488","必發車行","PIT FAT MOTORS CO","九龍","Kowloon","深水埗","SHAM SHUI PO","九江街6-8號九洲大廈地下3號舖","Shop 3, G/F, Kiu Chau Building, No. 6-8, Kiu Kiang Street, ","","4","IC","2028-03-27","","22.329139","114.157167","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW003499","健記車房","KIN KEE GARAGE","新界","N.T.","元朗","YUEN LONG","錦田八鄉上輋水澗石村地下 DD111, LOT172","DD111, LOT172 G/F, Shui Kan Shek Village, Sheung Che Pat Heung, Kam Tin","24880431","3","IC","2025-03-03","*","22.4524481","114.0971661","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW003502","GEN-Z GARAGE LIMITED","GEN-Z GARAGE LIMITED","新界","N.T.","葵青","KWAI TSING","葵涌和宜合道97-107號百新大廈地下","G/F, Park Sun Building, No. 97-107, Wo Yi Hop Road, Kwai Chung","","3","IC","2028-08-10","","22.3684102","114.1392974","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW003513","DR. MOTOR LIMITED","DR. MOTOR LIMITED","九龍","Kowloon","觀塘","KWUN TONG","海濱道151號廣生行中心地下6號","RM 6, G/F, Kwong Sang Hond Centre, No. 151, Hoi Bun Road, ","21119678","3","IC","2026-02-24","","22.31179","114.21838","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","R","R","R","R","Mo 09:00-19:00, Tu 09:00-19:00, We 09:00-19:00, Th 09:00-19:00, Fr 09:00-19:00, Sa 09:00-19:00"
"VMW003535","新達汽車服務有限公司","SUNTECH. MOTOR SERVICE LIMITED","新界","N.T.","元朗","YUEN LONG","橫洲宏業東街2號錦城工業大廈地下B舖","Flat B, G/F, Golden Town Industrial Building, No. 2, Wang Yip Street East, Wang Chau","24765678","3","IC","2028-03-02","","22.45052","114.03045","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW003546","騎士自家店","RIDERHOME SHOP","新界","N.T.","元朗","YUEN LONG","宏業東街2號錦城工業大廈地下A舖","Shop A, G/F, Golden Town Industrial Building, No. 2, Wang Yip Street East, ","24439479","3","IC","2028-03-04","","22.45045","114.03018","電單車","Motorcycle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW003557","新昌成車身廠有限公司","SUN CHONG SING AUTO BODY WORKS LTD","新界","N.T.","北區","NORTH DISTRICT","上水青山公路古洞燕崗村2巷1號","No. 1 2nd Lane, Yin Kong Village, Castle Peak Road, Sheung Shui","26731880","3","IC","2025-04-12","*","22.504364","114.111961","私家車, 小巴, 巴士, 輕型貨車, 中型貨車, 電單車","Private Car, Light Bus, Bus, Light Goods Vehicle, Medium Goods Vehicle, Motorcycle","一般車輛維修 (機械和電器工作), 石油氣車輛維修, 車身製造 (中型及重型車輛), 車身噴漆, 尾板, 電動及油壓配件","General vehicle maintenance (mechanical and electrical work), Maintenance for LPG vehicles, Body built (Medium-sized and heavy vehicles), Spray painting, Tail lift, Electric and hydrauic operated accessories","","","","","","","","","","","","","","","","","","",""
"VMW003568","合利汽車服務公司","HOP LEE MOTOR SERVICE CO","新界","N.T.","大埔","TAI PO","汀角路漁角村, LOT 516","LOT 516 Yue Kok Tsuen, Ting Kok Road, ","26616814","3","IC","2028-03-18","","22.458047","114.17845","的士","Taxi","石油氣車輛維修","Maintenance for LPG vehicles","","","","","","","","","","","","","","","","","","",""
"VMW003579","玉麟汽車工程有限公司","YUK LUN VEHICLE ENGINEERING LIMITED","香港","Hong Kong","東區","EASTERN DISTRICT","柴灣祥利街 ‎9號祥利工業大廈A座地下","G/F, Block A, Cheung Lee Industrial Building, No. 9, Cheung Lee Street, Chai Wan","28967896","3","IC","2028-03-02","","22.2646828","114.2361219","私家車, 輕型貨車, 中型貨車","Private Car, Light Goods Vehicle, Medium Goods Vehicle","","","","","","","","","","","","","","","","","","","","",""
"VMW003580","POWER RUN","POWER RUN","香港","Hong Kong","中西區","CENTRAL AND WESTERN DISTRICT","西營盤第二街88號怡豐閣4號舖","No. 4 Shop, Yee Fung Court, No. 88, Second Street, Sai Ying Pun","","4","IC","2028-03-24","","22.28617","114.141147","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW003604","香港汽車會","HONG KONG AUTOMOBILE ASSOCIATION","香港","Hong Kong","灣仔","WAN CHAI","馬師道新填地","Marsh road,reclamation ","34697101","3","IC","2025-03-03","*","22.281361","114.179","私家車","Private Car","一般車輛維修 (機械和電器工作),其他","General vehicle maintenance (mechanical and electrical work),Others","R","R","08:00","18:00","08:00","18:00","08:00","18:00","08:00","18:00","08:00","18:00","R","R","R","R","R","R","Mo 08:00-18:00, Tu 08:00-18:00, We 08:00-18:00, Th 08:00-18:00, Fr 08:00-18:00"
"VMW003626","永泰汽車服務有限公司","WING TAI MOTOR SERVICES CO. LIMITED","新界","N.T.","屯門","TUEN MUN","河田街7-9號冠華鏡廠第六工業大廈地下D1A","D1A/G, G/F, Koon Wah Mirror Factory (6th) Building, No. 7-9, Ho Tin Street, ","93011391","3","IC","2025-06-05","*","22.39811","113.96873","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW003637","藝林汽車修理廠","ARTLAND MOTORS","新界","N.T.","元朗","YUEN LONG","洪水橋丹桂村路402號","NO. 402, Tan Kwai Tsuen Road, Hung Shui Kiu","96501432","3","IC","2028-01-12","","22.430792","114.000161","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","09:00","19:30","09:00","19:30","09:00","19:30","09:00","19:30","09:00","19:30","09:00","19:30","R","R","R","R","Mo 09:00-19:30, Tu 09:00-19:30, We 09:00-19:30, Th 09:00-19:30, Fr 09:00-19:30, Sa 09:00-19:30"
"VMW003648","新成汽車服務 (鵬程街11號舖)","SUN SHING AUTO SERVCE (No. 11 Pang Ching Street)","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣鵬程街11號地下","G/F, No. 11, Pang Ching Street, To Kwa Wan","90401027","4","IC","2028-03-18","","22.3213617","114.1922526","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW003659","昌明車行","CHEONG MING MOTOR COMPANY","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣麟祥街21號地下","G/F, No. 21, Lun Cheung Street, To Kwa Wan","51272387","4","IC","2026-07-27","","22.3214848","114.1919197","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW003660","華達維修拖運服務公司","WAH TAT MOTOR VEHICLE & DRAYAGE SERVICES CO","新界","N.T.","元朗","YUEN LONG","洪水橋和平新村143號地下","G/F, No. 143, Wo Ping San Tsuen, Hung Shui Kiu","90935299","3","IC","2025-03-03","*","22.422396","113.993828","私家車, 輕型貨車, 中型貨車, 重型貨車, 掛接式拖車頭及拖車架","Private Car, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle, Articulated Tractor and Trailer","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","R","R","R","R","Mo 09:00-18:00, Tu 09:00-18:00, We 09:00-18:00, Th 09:00-18:00, Fr 09:00-18:00, Sa 09:00-18:00"
"VMW003706","大中汽車服務公司","TAI CHUNG CAR SERVICE CO","新界","N.T.","沙田","SHA TIN","大圍成運路1-7號交通城大廈6樓02室","Flat 02, 6/F, Transport City Building, No. 1-7, Shing Wan Road, Tai Wai","26055765","3","IC","2028-06-22","","22.37629","114.18159","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
